,beta
425,2.936948e-01
426,2.936764e-01
427,2.936575e-01
428,2.936381e-01
429,2.936184e-01
430,2.935986e-01
431,2.935789e-01
432,2.935598e-01
433,2.935413e-01
434,2.935238e-01
435,2.935071e-01
436,2.934917e-01
437,2.934775e-01
438,2.934648e-01
439,2.934536e-01
440,2.934439e-01
441,2.934359e-01
442,2.934293e-01
443,2.934243e-01
444,2.934206e-01
445,2.934180e-01
446,2.934165e-01
447,2.934158e-01
448,2.934156e-01
449,2.934158e-01
450,2.934163e-01
451,2.934166e-01
452,2.934167e-01
453,2.934164e-01
454,2.934155e-01
455,2.934140e-01
456,2.934118e-01
457,2.934089e-01
458,2.934053e-01
459,2.934009e-01
460,2.933956e-01
461,2.933896e-01
462,2.933828e-01
463,2.933754e-01
464,2.933675e-01
465,2.933593e-01
466,2.933511e-01
467,2.933430e-01
468,2.933351e-01
469,2.933274e-01
470,2.933201e-01
471,2.933133e-01
472,2.933071e-01
473,2.933015e-01
474,2.932965e-01
475,2.932922e-01
476,2.932884e-01
477,2.932850e-01
478,2.932822e-01
479,2.932797e-01
480,2.932774e-01
481,2.932754e-01
482,2.932736e-01
483,2.932718e-01
484,2.932698e-01
485,2.932676e-01
486,2.932651e-01
487,2.932622e-01
488,2.932588e-01
489,2.932550e-01
490,2.932507e-01
491,2.932462e-01
492,2.932415e-01
493,2.932367e-01
494,2.932319e-01
495,2.932271e-01
496,2.932224e-01
497,2.932178e-01
498,2.932134e-01
499,2.932092e-01
500,2.932053e-01
501,2.932017e-01
502,2.931984e-01
503,2.931953e-01
504,2.931924e-01
505,2.931896e-01
506,2.931868e-01
507,2.931838e-01
508,2.931808e-01
509,2.931778e-01
510,2.931746e-01
511,2.931713e-01
512,2.931679e-01
513,2.931644e-01
514,2.931608e-01
515,2.931571e-01
516,2.931534e-01
517,2.931497e-01
518,2.931461e-01
519,2.931425e-01
520,2.931389e-01
521,2.931355e-01
522,2.931322e-01
523,2.931290e-01
524,2.931260e-01
525,2.931231e-01
526,2.931204e-01
527,2.931177e-01
528,2.931150e-01
529,2.931125e-01
530,2.931098e-01
531,2.931072e-01
532,2.931044e-01
533,2.931015e-01
534,2.930986e-01
535,2.930956e-01
536,2.930925e-01
537,2.930894e-01
538,2.930864e-01
539,2.930835e-01
540,2.930805e-01
541,2.930777e-01
542,2.930749e-01
543,2.930723e-01
544,2.930697e-01
545,2.930672e-01
546,2.930647e-01
547,2.930622e-01
548,2.930598e-01
549,2.930576e-01
550,2.930555e-01
551,2.930534e-01
552,2.930513e-01
553,2.930489e-01
554,2.930464e-01
555,2.930436e-01
556,2.930406e-01
557,2.930377e-01
558,2.930349e-01
559,2.930324e-01
560,2.930304e-01
561,2.930284e-01
562,2.930265e-01
563,2.930246e-01
564,2.930225e-01
565,2.930201e-01
566,2.930178e-01
567,2.930156e-01
568,2.930136e-01
569,2.930116e-01
570,2.930099e-01
571,2.930081e-01
572,2.930063e-01
573,2.930041e-01
574,2.930018e-01
575,2.929993e-01
576,2.929968e-01
577,2.929944e-01
578,2.929923e-01
579,2.929904e-01
580,2.929886e-01
581,2.929868e-01
582,2.929846e-01
583,2.929824e-01
584,2.929800e-01
585,2.929777e-01
586,2.929753e-01
587,2.929732e-01
588,2.929711e-01
589,2.929692e-01
590,2.929673e-01
591,2.929655e-01
592,2.929637e-01
593,2.929618e-01
594,2.929598e-01
595,2.929576e-01
596,2.929555e-01
597,2.929534e-01
598,2.929516e-01
599,2.929499e-01
600,2.929483e-01
601,2.929466e-01
602,2.929449e-01
603,2.929432e-01
604,2.929415e-01
605,2.929400e-01
606,2.929383e-01
607,2.929370e-01
608,2.929356e-01
609,2.929344e-01
610,2.929331e-01
611,2.929319e-01
612,2.929306e-01
613,2.929291e-01
614,2.929272e-01
615,2.929251e-01
616,2.929227e-01
617,2.929202e-01
618,2.929178e-01
619,2.929155e-01
620,2.929133e-01
621,2.929109e-01
622,2.929084e-01
623,2.929058e-01
624,2.929032e-01
625,2.929005e-01
626,2.928975e-01
627,2.928945e-01
628,2.928914e-01
629,2.928863e-01
630,2.928841e-01
631,2.928657e-01
632,2.928517e-01
633,2.928403e-01
634,2.928308e-01
635,2.928228e-01
636,2.928160e-01
637,2.928103e-01
638,2.928055e-01
639,2.928015e-01
640,2.927983e-01
641,2.927956e-01
642,2.927935e-01
643,2.927918e-01
644,2.927905e-01
645,2.927896e-01
646,2.927890e-01
647,2.927887e-01
648,2.927885e-01
649,2.927884e-01
650,2.927885e-01
651,2.927885e-01
652,2.927886e-01
653,2.927887e-01
654,2.927887e-01
655,2.927886e-01
656,2.927885e-01
657,2.927883e-01
658,2.927880e-01
659,2.927876e-01
660,2.927872e-01
661,2.927866e-01
662,2.927860e-01
663,2.927854e-01
664,2.927847e-01
665,2.927840e-01
666,2.927832e-01
667,2.927825e-01
668,2.927817e-01
669,2.927809e-01
670,2.927802e-01
671,2.927794e-01
672,2.927786e-01
673,2.927778e-01
674,2.927770e-01
675,2.927762e-01
676,2.927753e-01
677,2.927745e-01
678,2.927736e-01
679,2.927726e-01
680,2.927716e-01
681,2.927705e-01
682,2.927693e-01
683,2.927680e-01
684,2.927665e-01
685,2.927648e-01
686,2.927629e-01
687,2.927608e-01
688,2.927582e-01
689,2.927552e-01
690,2.927517e-01
691,2.927473e-01
692,2.927420e-01
693,2.927354e-01
694,2.927269e-01
695,2.927158e-01
696,2.927010e-01
697,2.926811e-01
698,2.926540e-01
699,2.926170e-01
700,2.925665e-01
701,2.924990e-01
702,2.924126e-01
703,2.923122e-01
704,2.922059e-01
705,2.921017e-01
706,2.920056e-01
707,2.919195e-01
708,2.918438e-01
709,2.917784e-01
710,2.917227e-01
711,2.916760e-01
712,2.916380e-01
713,2.916077e-01
714,2.915844e-01
715,2.915674e-01
716,2.915551e-01
717,2.915449e-01
718,2.915328e-01
719,2.915156e-01
720,2.914929e-01
721,2.914681e-01
722,2.914447e-01
723,2.914244e-01
724,2.914074e-01
725,2.913933e-01
726,2.913810e-01
727,2.913683e-01
728,2.913521e-01
729,2.913303e-01
730,2.913055e-01
731,2.912821e-01
732,2.912614e-01
733,2.912436e-01
734,2.912267e-01
735,2.912073e-01
736,2.911850e-01
737,2.911637e-01
738,2.911426e-01
739,2.911161e-01
740,2.910914e-01
741,2.910689e-01
742,2.910455e-01
743,2.910279e-01
744,2.910122e-01
745,2.909895e-01
746,2.909735e-01
747,2.909636e-01
748,2.909572e-01
749,2.909046e-01
750,2.908590e-01
751,2.908185e-01
752,2.907825e-01
753,2.907504e-01
754,2.907218e-01
755,2.906964e-01
756,2.906738e-01
757,2.906537e-01
758,2.906358e-01
759,2.906200e-01
760,2.906060e-01
761,2.905936e-01
762,2.905826e-01
763,2.905730e-01
764,2.905645e-01
765,2.905571e-01
766,2.905506e-01
767,2.905450e-01
768,2.905401e-01
769,2.905358e-01
770,2.905321e-01
771,2.905290e-01
772,2.905262e-01
773,2.905238e-01
774,2.905218e-01
775,2.905200e-01
776,2.905184e-01
777,2.905170e-01
778,2.905158e-01
779,2.905147e-01
780,2.905137e-01
781,2.905128e-01
782,2.905121e-01
783,2.905113e-01
784,2.905107e-01
785,2.905101e-01
786,2.905096e-01
787,2.905090e-01
788,2.905086e-01
789,2.905081e-01
790,2.905077e-01
791,2.905073e-01
792,2.905070e-01
793,2.905066e-01
794,2.905063e-01
795,2.905060e-01
796,2.905057e-01
797,2.905054e-01
798,2.905052e-01
799,2.905049e-01
800,2.905046e-01
801,2.905044e-01
802,2.905042e-01
803,2.905039e-01
804,2.905037e-01
805,2.905034e-01
806,2.905032e-01
807,2.905030e-01
808,2.905027e-01
809,2.905025e-01
810,2.905023e-01
811,2.905020e-01
812,2.905018e-01
813,2.905015e-01
814,2.905013e-01
815,2.905011e-01
816,2.905009e-01
817,2.905007e-01
818,2.905005e-01
819,2.905003e-01
820,2.905001e-01
821,2.904999e-01
822,2.904997e-01
823,2.904995e-01
824,2.904993e-01
825,2.904992e-01
826,2.904990e-01
827,2.904988e-01
828,2.904986e-01
829,2.904984e-01
830,2.904982e-01
831,2.904980e-01
832,2.904978e-01
833,2.904976e-01
834,2.904974e-01
835,2.904972e-01
836,2.904970e-01
837,2.904968e-01
838,2.904965e-01
839,2.904963e-01
840,2.904961e-01
841,2.904958e-01
842,2.904955e-01
843,2.904952e-01
844,2.904950e-01
845,2.904947e-01
846,2.904944e-01
847,2.904941e-01
848,2.904938e-01
849,2.904935e-01
850,2.904932e-01
851,2.904929e-01
852,2.904925e-01
853,2.904922e-01
854,2.904919e-01
855,2.904915e-01
856,2.904912e-01
857,2.904908e-01
858,2.904904e-01
859,2.904900e-01
860,2.904896e-01
861,2.904892e-01
862,2.904887e-01
863,2.904882e-01
864,2.904877e-01
865,2.904872e-01
866,2.904866e-01
867,2.904861e-01
868,2.904855e-01
869,2.904848e-01
870,2.904842e-01
871,2.904835e-01
872,2.904828e-01
873,2.904820e-01
874,2.904812e-01
875,2.904803e-01
876,2.904794e-01
877,2.904785e-01
878,2.904775e-01
879,2.904765e-01
880,2.904755e-01
881,2.904743e-01
882,2.904731e-01
883,2.904719e-01
884,2.904705e-01
885,2.904691e-01
886,2.904676e-01
887,2.904661e-01
888,2.904645e-01
889,2.904627e-01
890,2.904609e-01
891,2.904589e-01
892,2.904568e-01
893,2.904546e-01
894,2.904522e-01
895,2.904496e-01
896,2.904469e-01
897,2.904440e-01
898,2.904410e-01
899,2.904377e-01
900,2.904342e-01
901,2.904304e-01
902,2.904263e-01
903,2.904219e-01
904,2.904172e-01
905,2.904120e-01
906,2.904064e-01
907,2.904004e-01
908,2.903940e-01
909,2.903870e-01
910,2.903794e-01
911,2.903712e-01
912,2.903621e-01
913,2.903522e-01
914,2.903413e-01
915,2.903294e-01
916,2.903164e-01
917,2.903023e-01
918,2.902869e-01
919,2.902699e-01
920,2.902512e-01
921,2.902307e-01
922,2.902082e-01
923,2.901836e-01
924,2.901567e-01
925,2.901275e-01
926,2.900959e-01
927,2.900621e-01
928,2.900260e-01
929,2.899879e-01
930,2.899476e-01
931,2.899058e-01
932,2.898630e-01
933,2.898195e-01
934,2.897760e-01
935,2.897331e-01
936,2.896914e-01
