epoch,internal/smma_improvement,lr-Adam,step,train/beta,train/data_loss,train/ic_loss,train/pde_loss,train/total_loss,train/total_loss_smma
,,0.001,672,,,,,,
21,,,703,0.3168352544307709,0.005009943153709173,2.7425234293332323e-05,4.945257387589663e-05,0.005641594994813204,
,,0.001,704,,,,,,
22,,,735,0.3075520098209381,0.004154847003519535,2.0351162675069645e-05,2.873487574106548e-05,0.0045439512468874454,
,,0.001,736,,,,,,
23,,,767,0.29417482018470764,0.0031740053091198206,5.99639824940823e-05,3.516294600558467e-05,0.0038254547398537397,
,,0.001,768,,,,,,
24,,,799,0.2854446470737457,0.003004368394613266,8.112724026432261e-05,3.5034023312618956e-05,0.0037603452801704407,
,,0.001,800,,,,,,
25,,,831,0.28202641010284424,0.002806970849633217,0.00011888413428096101,9.963881893781945e-05,0.0043977792374789715,
,,0.001,832,,,,,,
26,,,863,0.27317941188812256,0.0033667455427348614,2.8321039280854166e-05,6.051398304407485e-05,0.00411349069327116,
,,0.001,864,,,,,,
27,,,895,0.2644771337509155,0.0031777832191437483,3.4144872188335285e-05,2.6466645067557693e-05,0.003613174194470048,
,,0.001,896,,,,,,
28,,,927,0.25946786999702454,0.0018774537602439523,0.00013029630645178258,3.739611565833911e-05,0.0029028961434960365,
,,0.001,928,,,,,,
29,,,959,0.25610846281051636,0.0028101534117013216,5.720308763557114e-05,4.7338788135675713e-05,0.003569557098671794,
,,0.001,960,,,,,,
30,,,991,0.24874253571033478,0.0031522451899945736,1.327279619545152e-06,2.7078920538770035e-05,0.0034296715166419744,
,,0.001,992,,,,,,
31,,,1023,0.2454419583082199,0.0027190332766622305,1.0083862207466154e-06,3.721470420714468e-05,0.003096222411841154,
,,0.001,1024,,,,,,
32,,,1055,0.24632497131824493,0.002774640219286084,1.1256695415795548e-06,5.124233939568512e-05,0.003292691893875599,
,,0.001,1056,,,,,,
33,,,1087,0.2370944321155548,0.0021752400789409876,1.4070088809603476e-06,3.691895472002216e-05,0.002551464131101966,
,,0.001,1088,,,,,,
34,,,1119,0.23881211876869202,0.0011254760902374983,7.300415632016666e-07,2.438273986626882e-05,0.0013729538768529892,
,,0.001,1120,,,,,,
35,,,1151,0.2508177161216736,0.0008990702335722744,1.1176907719345763e-06,4.2464089347049594e-05,0.0013292997609823942,
,,0.001,1152,,,,,,
36,,,1183,0.2595894932746887,0.0008664774941280484,2.4546898202970624e-06,8.621883898740634e-05,0.0017409393331035972,
,,0.001,1184,,,,,,
37,,,1215,0.26292839646339417,0.000995440874248743,6.6686930040305015e-06,3.222395753255114e-05,0.0013510239077731967,
,,0.001,1216,,,,,,
38,,,1247,0.2682502269744873,0.0020695661660283804,3.4066974876623135e-06,4.956872726324946e-05,0.002582286950200796,
,,0.001,1248,,,,,,
39,,,1279,0.2728166878223419,0.0013586337445303798,1.7020400946421432e-06,3.9347629353869706e-05,0.0017606207402423024,
,,0.001,1280,,,,,,
40,,,1311,0.27596116065979004,0.0007124826079234481,7.847827873774804e-06,3.349944017827511e-05,0.0010867160744965076,
,,0.001,1312,,,,,,
41,,,1343,0.2851793169975281,0.0016915753949433565,1.1438527508289553e-05,2.8223063054610975e-05,0.0020309987012296915,
,,0.001,1344,,,,,,
42,,,1375,0.2940758466720581,0.0016918063629418612,6.827963079558685e-05,3.429325806791894e-05,0.0023761370684951544,
,,0.001,1376,,,,,,
