,L_pde,L_ic,L_data,L_total
541,1.549421e-07,7.292040e-09,3.018910e-06,3.181144e-06
542,1.626263e-07,1.145559e-07,2.637906e-06,2.915088e-06
543,2.645161e-07,6.535636e-09,8.724223e-07,1.143474e-06
544,2.544280e-07,1.154021e-07,1.348444e-06,1.718275e-06
545,1.247323e-07,4.213568e-09,1.319749e-06,1.448695e-06
546,3.850776e-06,2.400989e-07,3.723709e-05,4.132796e-05
547,9.153590e-07,1.504520e-07,5.202797e-05,5.309378e-05
548,3.143850e-07,1.458436e-08,5.143704e-06,5.472673e-06
549,5.375602e-06,1.676228e-08,3.409305e-04,3.463229e-04
550,1.407138e-06,6.662928e-07,1.369606e-04,1.390340e-04
551,6.717794e-06,6.538998e-07,2.610818e-04,2.684535e-04
552,8.133686e-07,7.644828e-07,6.693620e-05,6.851405e-05
553,1.321423e-05,3.850327e-07,2.402911e-04,2.538904e-04
554,2.120648e-06,4.079694e-08,4.889471e-05,5.105615e-05
555,9.019479e-07,3.294869e-09,1.154237e-05,1.244761e-05
556,3.782925e-06,6.495046e-08,3.457316e-05,3.842103e-05
557,5.568893e-07,3.323960e-07,6.002289e-06,6.891574e-06
558,2.494012e-07,1.387795e-07,1.169517e-06,1.557698e-06
559,1.906474e-07,1.591081e-08,7.100394e-06,7.306952e-06
560,1.355924e-07,3.107036e-08,3.980662e-07,5.647290e-07
561,2.603347e-07,5.176723e-09,6.156841e-07,8.811955e-07
562,1.226338e-07,2.120223e-06,3.883172e-07,2.631174e-06
563,3.055797e-07,1.682407e-08,5.529401e-07,8.753439e-07
564,1.861472e-07,2.249384e-08,1.036005e-06,1.244646e-06
565,1.917654e-07,5.316152e-08,3.036704e-07,5.485974e-07
566,1.684133e-07,5.250150e-09,4.702653e-07,6.439287e-07
567,2.034126e-07,3.799309e-10,2.713065e-07,4.750991e-07
568,1.017041e-07,4.265149e-08,1.099315e-06,1.243671e-06
569,4.345471e-07,1.171166e-10,3.343045e-05,3.386511e-05
570,2.917273e-05,1.724308e-08,7.320031e-04,7.611930e-04
571,2.522306e-06,2.254329e-07,1.698085e-05,1.972859e-05
572,3.034588e-07,6.561797e-09,5.144157e-06,5.454177e-06
573,2.931173e-07,5.523892e-09,2.306323e-05,2.336188e-05
574,5.306272e-07,2.987608e-09,7.233209e-06,7.766824e-06
575,2.337709e-07,4.191341e-09,1.664966e-06,1.902928e-06
576,1.510618e-07,1.802287e-07,8.430283e-07,1.174319e-06
577,1.872927e-07,1.320252e-08,4.800941e-06,5.001437e-06
578,2.043912e-07,1.555562e-09,4.650515e-07,6.709982e-07
579,1.208888e-07,2.741666e-08,3.247413e-07,4.730468e-07
580,1.647517e-07,2.676026e-11,1.456767e-05,1.473244e-05
581,1.856297e-07,5.643448e-09,8.522726e-06,8.713999e-06
582,1.815448e-07,1.263057e-08,2.398592e-06,2.592767e-06
583,8.148704e-07,6.702331e-08,2.951558e-06,3.833452e-06
584,2.562190e-07,7.123890e-08,1.084708e-06,1.412166e-06
585,2.214372e-07,1.232677e-09,8.922540e-07,1.114924e-06
586,1.134105e-07,4.405491e-07,8.074498e-07,1.361409e-06
587,8.405394e-07,4.790506e-09,2.398622e-06,3.243952e-06
588,1.795968e-07,2.021730e-06,1.539714e-06,3.741040e-06
589,1.294861e-05,6.167399e-07,1.679850e-04,1.815503e-04
590,7.040079e-06,2.215895e-06,1.303990e-04,1.396550e-04
591,1.404913e-05,5.785968e-08,3.511490e-04,3.652560e-04
592,1.098144e-06,4.090708e-08,2.709791e-05,2.823697e-05
593,6.140423e-06,1.316259e-07,1.002198e-05,1.629403e-05
594,7.360718e-07,8.756608e-07,9.387992e-07,2.550532e-06
595,1.187221e-07,3.626418e-07,5.458597e-07,1.027224e-06
596,1.097449e-07,9.107407e-08,1.312869e-06,1.513688e-06
597,1.265345e-07,5.583563e-09,5.085055e-06,5.217174e-06
598,2.195023e-07,3.428636e-07,4.562697e-06,5.125063e-06
599,1.163344e-07,4.206619e-08,4.241901e-07,5.825907e-07
600,2.748225e-07,5.141831e-08,1.356307e-05,1.388931e-05
601,1.406604e-07,4.016591e-08,4.002572e-06,4.183398e-06
602,1.014496e-05,1.565111e-08,1.142549e-04,1.244155e-04
603,1.105129e-06,4.555336e-08,2.703853e-05,2.818922e-05
604,2.876071e-07,4.653189e-08,3.061404e-06,3.395543e-06
605,1.751335e-06,3.442331e-08,6.920385e-06,8.706143e-06
606,7.321930e-06,9.296403e-08,2.855429e-05,3.596919e-05
607,7.615566e-06,8.643052e-08,4.749890e-05,5.520089e-05
608,1.677156e-05,1.908473e-06,7.864740e-04,8.051541e-04
609,2.453808e-06,2.501593e-08,3.394934e-05,3.642817e-05
610,1.057239e-06,1.787887e-11,8.730184e-06,9.787442e-06
611,1.282415e-06,3.067971e-10,6.048722e-06,7.331444e-06
612,7.042235e-07,5.112488e-10,6.423537e-06,7.128272e-06
613,5.124116e-07,7.946533e-12,1.000214e-05,1.051456e-05
614,1.909148e-07,3.094016e-09,5.816056e-06,6.010065e-06
615,3.787725e-07,1.832903e-09,6.974886e-05,7.012946e-05
616,4.911029e-07,2.762435e-08,4.438893e-05,4.490766e-05
617,1.505683e-06,1.386578e-07,1.110942e-04,1.127386e-04
618,4.128259e-06,3.115999e-07,1.092060e-04,1.136459e-04
619,1.240464e-06,1.710477e-08,1.318151e-04,1.330726e-04
620,1.676205e-06,5.268018e-07,3.212564e-04,3.234594e-04
621,6.475881e-07,3.349341e-08,5.456016e-06,6.137097e-06
622,8.955822e-07,6.377386e-07,2.585416e-05,2.738748e-05
623,3.429980e-07,5.679884e-07,1.787225e-06,2.698211e-06
624,7.133823e-07,9.573265e-08,9.117960e-06,9.927075e-06
625,1.724188e-07,1.401210e-06,6.791367e-06,8.364996e-06
626,1.253104e-07,3.738770e-09,7.717327e-07,9.007819e-07
627,1.446793e-07,3.074904e-06,1.045539e-06,4.265123e-06
