,beta
612,4.715472e-01
613,4.730729e-01
614,4.746153e-01
615,4.762164e-01
616,4.777766e-01
617,4.793177e-01
618,4.807796e-01
619,4.822129e-01
620,4.836079e-01
621,4.851383e-01
622,4.865226e-01
623,4.879460e-01
624,4.893224e-01
625,4.907809e-01
626,4.921178e-01
627,4.932905e-01
628,4.946237e-01
629,4.959876e-01
630,4.973348e-01
631,4.986579e-01
632,4.999008e-01
633,5.011769e-01
634,5.024204e-01
635,5.036345e-01
636,5.049002e-01
637,5.060149e-01
638,5.070877e-01
639,5.082531e-01
640,5.093375e-01
641,5.103255e-01
642,5.114248e-01
643,5.124756e-01
644,5.135557e-01
645,5.145570e-01
646,5.154311e-01
647,5.164722e-01
648,5.173889e-01
649,5.182795e-01
650,5.188001e-01
651,5.196004e-01
652,5.201935e-01
653,5.207155e-01
654,5.213401e-01
655,5.140255e-01
656,5.127785e-01
657,5.051787e-01
658,5.007053e-01
659,4.956201e-01
660,4.918346e-01
661,4.885417e-01
662,4.865109e-01
663,4.845586e-01
664,4.832430e-01
665,4.830767e-01
666,4.841958e-01
667,4.849940e-01
668,4.860312e-01
669,4.871402e-01
670,4.886511e-01
671,4.882197e-01
672,4.888665e-01
673,4.895020e-01
674,4.902725e-01
675,4.909020e-01
676,4.914596e-01
677,4.922846e-01
678,4.929475e-01
679,4.936203e-01
680,4.947975e-01
681,4.957435e-01
682,4.967419e-01
683,4.979968e-01
684,4.993801e-01
685,5.005733e-01
686,5.017742e-01
687,5.030304e-01
688,5.041580e-01
689,5.054436e-01
690,5.066243e-01
691,5.078029e-01
692,5.089839e-01
693,5.100978e-01
694,5.112449e-01
695,5.124540e-01
696,5.134780e-01
697,5.145668e-01
698,5.157022e-01
699,5.167203e-01
700,5.177728e-01
701,5.184288e-01
702,5.193902e-01
703,5.197299e-01
704,5.206858e-01
705,5.214398e-01
706,5.218297e-01
707,5.228281e-01
708,5.233669e-01
709,5.233308e-01
710,5.233977e-01
711,5.235045e-01
712,5.235914e-01
713,5.238166e-01
714,5.232366e-01
715,5.234934e-01
716,5.217047e-01
717,5.206136e-01
718,5.203005e-01
719,5.194316e-01
720,5.193860e-01
721,5.199355e-01
722,5.206316e-01
723,5.211532e-01
724,5.215840e-01
725,5.213057e-01
726,5.214308e-01
727,5.207242e-01
728,5.189579e-01
729,5.159040e-01
730,5.118989e-01
731,5.085992e-01
732,5.067870e-01
733,5.048895e-01
734,5.033783e-01
735,5.029908e-01
736,5.033387e-01
737,5.034555e-01
738,5.029320e-01
739,5.028612e-01
740,5.022766e-01
741,4.987760e-01
742,4.981047e-01
743,4.961847e-01
744,4.941772e-01
745,4.930660e-01
746,4.931706e-01
747,4.929479e-01
748,4.935819e-01
749,4.945822e-01
750,4.954753e-01
751,4.949181e-01
752,4.943897e-01
753,4.947780e-01
754,4.949147e-01
755,4.944036e-01
756,4.950322e-01
757,4.951299e-01
758,4.956042e-01
759,4.963043e-01
760,4.971476e-01
761,4.983187e-01
762,4.995518e-01
763,5.006679e-01
764,5.016691e-01
765,5.028938e-01
766,5.030559e-01
767,5.038048e-01
768,5.021401e-01
769,4.999388e-01
770,4.987513e-01
771,4.971701e-01
772,4.970346e-01
773,4.974313e-01
774,4.980713e-01
775,4.989207e-01
776,5.000875e-01
777,5.011539e-01
778,5.020098e-01
779,5.028018e-01
780,5.038548e-01
781,5.035554e-01
782,5.026603e-01
783,5.020286e-01
784,5.019550e-01
785,4.999271e-01
786,4.988297e-01
787,4.926073e-01
788,4.897798e-01
789,4.873063e-01
790,4.811120e-01
791,4.742096e-01
792,4.720010e-01
793,4.688467e-01
794,4.671573e-01
795,4.642793e-01
796,4.630003e-01
797,4.588881e-01
798,4.582200e-01
799,4.582102e-01
800,4.530483e-01
801,4.524928e-01
802,4.516019e-01
803,4.512313e-01
804,4.507779e-01
805,4.504132e-01
806,4.504966e-01
807,4.507752e-01
808,4.513166e-01
809,4.519004e-01
810,4.526237e-01
811,4.533677e-01
812,4.541191e-01
813,4.548566e-01
814,4.557249e-01
815,4.564837e-01
816,4.573536e-01
817,4.581820e-01
818,4.590174e-01
819,4.598125e-01
820,4.606638e-01
821,4.614774e-01
822,4.623010e-01
823,4.631190e-01
824,4.639786e-01
825,4.648129e-01
826,4.656520e-01
827,4.664207e-01
828,4.672343e-01
829,4.680549e-01
830,4.688982e-01
831,4.697664e-01
832,4.705308e-01
833,4.713343e-01
834,4.722122e-01
835,4.729882e-01
836,4.737629e-01
837,4.745414e-01
838,4.753818e-01
839,4.761912e-01
840,4.769934e-01
841,4.777838e-01
842,4.785870e-01
843,4.793817e-01
844,4.801414e-01
845,4.809429e-01
846,4.817139e-01
847,4.824954e-01
848,4.832717e-01
849,4.841154e-01
850,4.848607e-01
851,4.857292e-01
852,4.863884e-01
853,4.871794e-01
854,4.878686e-01
855,4.886669e-01
856,4.894290e-01
857,4.901814e-01
858,4.909576e-01
859,4.917174e-01
860,4.924559e-01
861,4.932076e-01
862,4.939703e-01
863,4.947297e-01
864,4.954878e-01
865,4.962102e-01
866,4.969534e-01
867,4.977063e-01
868,4.983795e-01
869,4.991346e-01
870,4.998214e-01
871,5.005345e-01
872,5.013211e-01
873,5.020104e-01
874,5.027148e-01
875,5.034354e-01
876,5.041168e-01
877,5.048087e-01
878,5.055482e-01
879,5.062637e-01
880,5.069612e-01
881,5.076692e-01
882,5.083454e-01
883,5.090348e-01
884,5.097598e-01
885,5.103570e-01
886,5.110581e-01
887,5.117196e-01
888,5.123686e-01
889,5.130792e-01
890,5.137117e-01
891,5.143576e-01
892,5.150700e-01
893,5.157243e-01
894,5.163352e-01
895,5.170034e-01
896,5.176864e-01
897,5.183144e-01
898,5.189557e-01
899,5.195706e-01
900,5.202509e-01
901,5.209061e-01
902,5.215226e-01
903,5.221396e-01
904,5.228004e-01
905,5.234192e-01
906,5.240929e-01
907,5.247008e-01
908,5.253206e-01
909,5.260035e-01
910,5.266332e-01
911,5.271959e-01
912,5.277419e-01
913,5.283721e-01
914,5.290996e-01
915,5.296498e-01
916,5.301270e-01
917,5.306323e-01
918,5.312228e-01
919,5.318528e-01
920,5.324750e-01
921,5.330219e-01
922,5.336107e-01
923,5.341963e-01
